Current Procedural Terminology (CPT®) codes, descriptions, and other data are
copyright 1966, 1970, 1973, 1977, 1981, 1983-2024 by the American
Medical Association. All rights reserved.

CPT® is a registered trademark of the American Medical Association.

U.S. GOVERNMENT RIGHTS. CPT is commercial technical data
developed exclusively at the private expense by the American
Medical Association, 330 N. Wabash Ave., Suite 39300,
Chicago, IL 60611-5885. Use does not grant the Federal Government
a direct license to use CPT based on FAR 52.227-14 (Data Rights – General)
and DFARS 252.227-7015 (Technical Data Commercial Items).

This file may not be sold, duplicated, or given
away in whole or in part without the express written
consent of the American Medical Association.

To license additional CPT® products or to request a license
for the distribution of products with CPT® content, visit our website at
https://www.ama-assn.org/practice-management/cpt/ama-cpt-licensing-overview,
or purchase other CPT® products, contact customer service at 800-621-8335.

For the most current CPT® coding information, to learn about the early release
of CPT® codes, and to review the CPT® Errata to bring yourself up to date on corrections,
please visit https://www.ama-assn.org/practice-management/errata-technical-corrections.

Concept Id	CPT Code	Long	Medium	Short	Consumer	Spanish Consumer	Current Descriptor Effective Date	Test Name	Lab Name	Manufacturer Name
1038651	0467U	Oncology (bladder), DNA, next-generation sequencing (NGS) of 60 genes and whole genome aneuploidy, urine, algorithms reported as minimal residual disease (MRD) status positive or negative and quantitative disease burden	ONC BLDR DNA NGS 60 GEN&WHL GENOME ANEUP UR ALG	ONC BLDR DNA NGS 60GEN&ANEUP	DNA sequencing of 60 genes in urine, results reported as minimal residual disuse positive or negative and disease burden	Secuenciación de ADN de 60 genes presentes en la orina, reporte de los resultados como positivo o negativo a la enfermedad residual mínima, con indicador de carga de la enfermedad	20240701	UroAmp MRD	Convergent Genomics, Inc	Convergent Genomics, Inc
1038652	0468U	Hepatology (nonalcoholic steatohepatitis [NASH]), miR-34a-5p, alpha 2-macroglobulin, YKL40, HbA1c, serum and whole blood, algorithm reported as a single score for NASH activity and fibrosis	HEP NASH MIR-34A-5P A2M YKL40 HBA1C SRM&WHL BLD	HEP NASH MIR-34A5P A2M YKL40	Testing in serum and whole blood reported as a single score for nonalcoholic steatohepatitis and fibrosis	Pruebas en suero y sangre total, reportadas como un único puntaje para esteatohepatitis no alcohólica y fibrosis	20240701	NASHnext™ (NIS4™)	Labcorp	Labcorp
1038653	0469U	Rare diseases (constitutional/heritable disorders), whole genome sequence analysis for chromosomal abnormalities, copy number variants, duplications/deletions, inversions, unbalanced translocations, regions of homozygosity (ROH), inheritance pattern that indicate uniparental disomy (UPD), and aneuploidy, fetal sample (amniotic fluid, chorionic villus sample, or products of conception), identification and categorization of genetic variants, diagnostic report of fetal results based on phenotype with maternal sample and paternal sample, if performed, as comparators and/or maternal cell contamination	RARE DS WHL GENOM SEQ ALYS CHRMOML ABNR FTL SAMP	RARE DS WHL GEN SEQ FTL SAMP	Whole genome sequencing in amniotic fluid, chorionic villus sample, or products of conception, results reported based on phenotype for constitutional/heritable disorders	Secuenciación del genoma completo en líquido amniótico, muestra de vellosidades coriónicas o de productos de la concepción, con reporte de los resultados basado en la presencia de fenotipos relacionados con trastornos constitucionales o hereditarios	20240701	IriSight™ CNV Analysis	Variantyx Inc	Variantyx Inc
1038654	0470U	Oncology (oropharyngeal), detection of minimal residual disease by next-generation sequencing (NGS) based quantitative evaluation of 8 DNA targets, cell-free HPV 16 and 18 DNA from plasma	ONC OROP DETCJ MRD NGS QUAN EVAL 8DNA CFHPV16&18	ONC OROP DETCJ MRD 8 DNA HPV	Next-generation sequencing of 8 DNA targets in plasma for detection of minimal residual disease in head and neck cancer	Secuenciación de próxima generación de 8 secuencias diana de ADN en plasma para detectar enfermedad residual mínima en cáncer de cabeza y cuello	20240701	HPV-SEQ Test	Sysmex Inostics, Inc	Sysmex Inostics, Inc
1038655	0471U	Oncology (colorectal cancer), qualitative real-time PCR of 35 variants of KRAS and NRAS genes (exons 2, 3, 4), formalin-fixed paraffin-embedded (FFPE), predictive, identification of detected mutations	ONC CLRCT CA QUAL RTPCR 35 VRNT KRAS&NRAS GENES	ONC CLRC CA 35 VRN KRAS&NRAS	Testing for 35 variants of KRAS and NRAS genes in tissue sample, reported as predictive identification of detected mutations in colorectal cancer	Pruebas para detectar 35 variantes de los genes KRAS y NRAS en muestras de tejido, reportadas como una identificación predictiva de mutaciones detectadas en cáncer colorrectal	20240701	CRCdx® RAS Mutation Detection Kit	EntroGen, Inc	EntroGen, Inc
1038656	0472U	Carbonic anhydrase VI (CA VI), parotid specific/secretory protein (PSP) and salivary protein (SP1) IgG, IgM, and IgA antibodies, enzyme-linked immunosorbent assay (ELISA), semiqualitative, blood, reported as predictive evidence of early Sjögren's syndrome	CA VI PSP&SP1 ANTB ELISA SEMIQL BLD SJÖGREN SYND	CA VI PSP&SP1 ANTB SJÖGREN	Testing for proteins and antibodies in blood reported as predictive evidence of early Sjögren syndrome	Pruebas para detectar proteínas y anticuerpos en sangre, reportadas como evidencia predictiva de principios de síndrome de Sjögren	20240701	Early Sjögren's Syndrome Profile	Immco Diagnostics, Inc	Immco Diagnostics, Inc
1038657	0473U	Oncology (solid tumor), next-generation sequencing (NGS) of DNA from formalin-fixed paraffin-embedded (FFPE) tissue with comparative sequence analysis from a matched normal specimen (blood or saliva), 648 genes, interrogation for sequence variants, insertion and deletion alterations, copy number variants, rearrangements, microsatellite instability, and tumor-mutation burden	ONC SOLID TUMOR NGS DNA FFPE TISS BLD/SLV 648GEN	ONC SLD TUM BLD/SLV 648 GENE	Next-generation sequencing of DNA from tissue sample of 648 genes with comparative sequence analysis from a matched normal blood or saliva specimen in solid tumor cancer	Secuenciación de próxima generación de ADN de 648 genes de una muestra de tejido, con análisis comparativo de secuencias de una muestra de control normal de sangre o saliva, en cáncer de tumores sólidos	20240701	xT CDx	Tempus AI, Inc	Tempus AI, Inc
1038658	0474U	Hereditary pan-cancer (eg, hereditary sarcomas, hereditary endocrine tumors, hereditary neuroendocrine tumors, hereditary cutaneous melanoma), genomic sequence analysis panel of 88 genes with 20 duplications/deletions using next-generation sequencing (NGS), Sanger sequencing, blood or saliva, reported as positive or negative for germline variants, each gene	HERED PAN CA GSAP 88 GENES 20DUP/DEL NGS BLD/SLV	HERED PAN CA GSAP 88GENE NGS	Next-generation sequencing of 88 genes in blood or saliva, results reported as positive or negative for variants of each gene for hereditary cancers	Secuenciación de próxima generación de 88 genes en sangre o saliva, con reporte de los resultados como positivo o negativo a variantes de cada gen relacionadas con cánceres hereditarios	20240701	GeneticsNow® Comprehensive Germline Panel	GoPath Diagnostics, Inc	GoPath Diagnostics, Inc
1038659	0475U	Hereditary prostate cancer-related disorders, genomic sequence analysis panel using next-generation sequencing (NGS), Sanger sequencing, multiplex ligation-dependent probe amplification (MLPA), and array comparative genomic hybridization (CGH), evaluation of 23 genes and duplications/deletions when indicated, pathologic mutations reported with a genetic risk score for prostate cancer	HERED PRST8 CA-RLTD DO GSAP NGS CGH EVAL 23 GENE	HERED PRST8 CA GSAP 23 GENES	Next-generation sequencing of 23 genes reported as pathologic mutations with a genetic risk score for prostate cancer	Secuenciación de próxima generación de 23 genes, reportada como mutaciones patológicas con un puntaje de riesgo genético de cáncer de próstata	20240701	ProstateNow™ Prostate Germline Panel	GoPath Diagnostics, Inc	GoPath Diagnostics, Inc
1038662	0476U	Drug metabolism, psychiatry (eg, major depressive disorder, general anxiety disorder, attention deficit hyperactivity disorder [ADHD], schizophrenia), whole blood, buccal swab, and pharmacogenomic genotyping of 14 genes and CYP2D6 copy number variant analysis and reported phenotypes	RX METAB PSYC RX-GENOMIC GNOTYP 14GEN&CYP2D6 CNV	RX METAB PSYC 14GEN&CYP2D6	Pharmacogenomic genotyping of 14 genes including reported phenotypes to evaluate drug metabolism in psychiatric disorders	Genotipado farmacogenómico de 14 genes incluyendo fenotipos reportados para evaluar el metabolismo de los fármacos en trastornos psiquiátricos	20241001	RightMed® Mental Health Gene Report	OneOme, LLC	OneOme, LLC
1038663	0477U	Drug metabolism, psychiatry (eg, major depressive disorder, general anxiety disorder, attention deficit hyperactivity disorder [ADHD], schizophrenia), whole blood, buccal swab, and pharmacogenomic genotyping of 14 genes and CYP2D6 copy number variant analysis, including impacted gene-drug interactions and reported phenotypes	RX METAB PSY GNOTYP 14GEN&CYP2D6 IMPCT GEN-RX IA	RX METAB PSY 14&CYP2D6 GN-RX	Pharmacogenomic genotyping of 14 genes including gene-drug interactions and reported phenotypes to evaluate drug metabolism in psychiatric disorders	Genotipado farmacogenómico de 14 genes incluyendo interacciones gen-fármaco y fenotipos reportados para evaluar el metabolismo de los fármacos en trastornos psiquiátricos	20241001	RightMed® Mental Health Medication Report	OneOme, LLC	OneOme, LLC
1038664	0478U	Oncology (non-small cell lung cancer), DNA and RNA, digital PCR analysis of 9 genes (EGFR, KRAS, BRAF, ALK, ROS1, RET, NTRK 1/2/3, ERBB2, and MET) in formalin-fixed paraffin-embedded (FFPE) tissue, interrogation for single-nucleotide variants, insertions/deletions, gene rearrangements, and reported as actionable detected variants for therapy selection	ONC NSCLC DNA&RNA DPCR ALYS 9 GENES FFPE TISSUE	ONC NSCLC DNA&RNA DPCR 9GENS	DNA and RNA analysis of 9 genes to determine therapy selection in non-small cell lung cancer	Análisis de ADN y ARN de 9 genes para determinar la selección de terapia en cáncer de pulmón de células no pequeñas	20241001	Lung HDPCR™	Protean BioDiagnostics	Protean BioDiagnostics
1038665	0479U	Tau, phosphorylated, pTau217	TAU PHOSPHORYLATED PTAU217	TAU PHOSPHORYLATED PTAU217	Testing for phosphorylated tau	Prueba de tau fosforilada	20241001	ALZpath pTau217	Neurocode USA, Inc	Quanterix/ALZpath
1038666	0480U	Infectious disease (bacteria, viruses, fungi, and parasites), cerebrospinal fluid (CSF), metagenomic next-generation sequencing (DNA and RNA), bioinformatic analysis, with positive pathogen identification	NFCT DS CSF METAGENOMIC NGS BIOINFORMATIC ALYS	NFCT DS CSF METAG NGS ALYS	DNA and RNA next generation sequencing for identifying pathogens in bacteria, virus, fungal, an parasite infection	Secuenciación de ADN y ARN de próxima generación para identificar patógenos en infecciones bacterianas, virales, fúngicas y parasitarias	20241001	Bacteria, Viruses, Fungus, and Parasite Metagenomic Sequencing, Spinal Fluid (MSCSF)	Mayo Clinic	Laboratory Developed Test
1038667	0481U	IDH1 (isocitrate dehydrogenase 1 [NADP+]), IDH2 (isocitrate dehydrogenase 2 [NADP+]), and TERT (telomerase reverse transcriptase) promoter (eg, central nervous system [CNS] tumors), next-generation sequencing (single-nucleotide variants [SNV], deletions, and insertions)	IDH1 IDH2&TERT PROMOTER CNS TUMORS NGS S/D/I	IDH1 IDH2&TERT PROMOTER NGS	Next-generation sequencing of genes in central nervous system tumors	Secuenciación de próxima generación de genes en tumores del sistema nervioso central	20241001	IDH1, IDH2, and TERT Mutation Analysis, Next-Generation Sequencing, Tumor (IDTRT)	Mayo Clinic	Laboratory Developed Test
1038668	0482U	Obstetrics (preeclampsia), biochemical assay of soluble fms-like tyrosine kinase 1 (sFlt-1) and placental growth factor (PlGF), serum, ratio reported for sFlt-1/PlGF, with risk of progression for preeclampsia with severe features within 2 weeks	OB PREECLAMPSIA BIOCHEM ASY SFLT-1&PLGF SERUM	OB PE BIOCHEM ASY SFLT1&PLGF	Testing of specific protein and factors to determine risk of progression of preeclampsia	Pruebas para detectar proteínas específicas y factores para determinar el riesgo de progresión de la preeclampsia	20241001	Preeclampsia sFlt-1/PlGF Ratio (PERA)	Mayo Clinic	Laboratory Developed Test
1038669	0483U	Infectious disease (Neisseria gonorrhoeae), sensitivity, ciprofloxacin resistance (gyrA S91F point mutation), oral, rectal, or vaginal swab, algorithm reported as probability of fluoroquinolone resistance	NFCT DS NG GYRA S91F POINT MUT ORL/RCT/VAG SWAB	NFCT DS NG GYRA S91F PT MUT	Testing for probability of fluoroquinolone resistance in gonorrhea	Pruebas para determinar la probabilidad de resistencia a fluoroquinolonas en gonorrea	20241001	Ciprofloxacin Susceptibility of Neisseria gonorrhoeae	MedArbor Diagnostics	SpeeDx, Inc
1038670	0484U	Infectious disease (Mycoplasma genitalium), macrolide sensitivity (23S rRNA point mutation), oral, rectal, or vaginal swab, algorithm reported as probability of macrolide resistance	NFCT DS MGEN 23S RRNA POINT MUT ORL/RCT/VAG SWAB	NFCT DS MGEN 23S RRNA PT MUT	Testing for probability of macrolide resistance in in mycoplasma genitalium	Pruebas para determinar la probabilidad de resistencia a macrólidos en Mycoplasma genitalium	20241001	Macrolide Resistance of Mycoplasma genitalium	MedArbor Diagnostics	SpeeDx, Inc
1038671	0485U	Oncology (solid tumor), cell-free DNA and RNA by next-generation sequencing, interpretative report for germline mutations, clonal hematopoiesis of indeterminate potential, and tumor-derived single-nucleotide variants, small insertions/deletions, copy number alterations, fusions, microsatellite instability, and tumor mutational burden	ONC SOL TUM CFDNA&RNA NGS IR GM CHIP TUM-DRV SNV	ONC SOL TUM CFDNA&RNA NGS GM	RNA next-generation sequencing in solid tumor cancer	Secuenciación de ARN de próxima generación en cáncer de tumor sólido	20241001	Caris Assure™	Caris MPI, Inc d/b/a Caris Life Sciences®	Caris MPI, Inc d/b/a Caris Life Sciences®
1038672	0486U	Oncology (pan-solid tumor), next-generation sequencing analysis of tumor methylation markers present in cell-free circulating tumor DNA, algorithm reported as quantitative measurement of methylation as a correlate of tumor fraction	ONC PAN SOL TUM NGS ALYS TUM MTHYLTN MRK CFCTDNA	ONC PAN SOL TUM NGS CFCTDNA	DNA next-generation sequencing of tumor methylation markers present in cell-free circulating tumor DNA in pan-solid tumor	Secuenciación de ADN de próxima generación de los marcadores de metilación tumorales presentes en ADN tumoral libre de células circulante en tumores sólidos, con independencia de su tipo y lugar de origen	20241001	Northstar Response™	BillionToOne Laboratory	BillionToOne, Inc
1038673	0487U	Oncology (solid tumor), cell-free circulating DNA, targeted genomic sequence analysis panel of 84 genes, interrogation for sequence variants, aneuploidy-corrected gene copy number amplifications and losses, gene rearrangements, and microsatellite instability	ONC SOL TUM CFCDNA TGSAP 84GEN INTERROG SEQ VRNT	ONC SOL TUM CFCDNA TGSAP 84	Genomic sequence analysis of 84 genes in solid tumors	Análisis de secuencia genómica de 84 genes en tumores sólidos	20241001	Northstar Select™	BillionToOne Laboratory	BillionToOne, Inc
1038674	0488U	Obstetrics (fetal antigen noninvasive prenatal test), cell-free DNA sequence analysis for detection of fetal presence or absence of 1 or more of the Rh, C, c, D, E, Duffy (Fya), or Kell (K) antigen in alloimmunized pregnancies, reported as selected antigen(s) detected or not detected	OB FTL AG NIPT CFDNA SEQ ALYS DETCJ FTL PRESENCE	OB FETAL AG NIPT CFDNA ALYS	DNA sequence analysis for detection of fetal presence of antigen(s)	Análisis de secuencia de ADN para la detección de presencia de antígeno(s) en el feto	20241001	UNITY Fetal Antigen™ NIPT	BillionToOne Laboratory	BillionToOne, Inc
1038675	0489U	Obstetrics (single-gene noninvasive prenatal test), cell-free DNA sequence analysis of 1 or more targets (eg, CFTR, SMN1, HBB, HBA1, HBA2) to identify paternally inherited pathogenic variants, and relative mutation-dosage analysis based on molecular counts to determine fetal inheritance of maternal mutation, algorithm reported as a fetal risk score for the condition (eg, cystic fibrosis, spinal muscular atrophy, beta hemoglobinopathies [including sickle cell disease], alpha thalassemia)	OB SGNIPT CFDNA SEQ ALYS 1+ TRGT ID PTHGNC VRNT	OB SGNIPT CFDNA SEQ ALYS 1+	Single-gene noninvasive prenatal test to determine fetal risk score for inherited conditions	Prueba prenatal no invasiva de un solo gen para determinar el puntaje de riesgo fetal para enfermedades hereditarias	20241001	UNITY Fetal Risk Screen™	BillionToOne Laboratory	BillionToOne, Inc
1038676	0490U	Oncology (cutaneous or uveal melanoma), circulating tumor cell selection, morphological characterization and enumeration based on differential CD146, high molecular-weight melanoma-associated antigen, CD34 and CD45 protein biomarkers, peripheral blood	ONC CUTAN/UVEAL MLNMA CTC SLCTN MC&ENUM CD146	ONC CUTAN/UVEAL MLNMA CD146	Testing for antigen and protein biomarkers in melanoma(s)	Pruebas para detectar biomarcadores de antígeno y proteína en melanomas	20241001	CELLSEARCH® Circulating Melanoma Cell (CMC) Test	Menarini Silicon Biosystems Inc	Menarini Silicon Biosystems Inc
1038677	0491U	Oncology (solid tumor), circulating tumor cell selection, morphological characterization and enumeration based on differential epithelial cell adhesion molecule (EpCAM), cytokeratins 8, 18, and 19, CD45 protein biomarkers, and quantification of estrogen receptor (ER) protein biomarker-expressing cells, peripheral blood	ONC SOLID TUMOR CTC SLCTN CD45&QUAN ER PRTN BMRK	ONC SOL TUM CTC SLCT ER PRTN	Testing for protein biomarkers and quantification of estrogen receptor protein biomarker expressing cells in solid tumors	Pruebas para detectar biomarcadores de proteínas y cuantificación de células expresoras de biomarcadores de proteína del receptor de estrógeno en tumores sólidos	20241001	CELLSEARCH® ER Circulating Tumor Cell (CTC-ER) Test	Menarini Silicon Biosystems Inc	Menarini Silicon Biosystems Inc
